油管-CCTV纪录片_3,#genre#
在成都生活的人能有多快乐？融合辣的血液与静的希望！【CCTV纪录】,https://www.youtube.com/watch?v=Hr6HojrEB3s
是时候去云南了！眺望梅里雪山 在洱海边发呆 来一场属于你的风花雪月之旅！【CCTV纪录】,https://www.youtube.com/watch?v=UGnPAKbAsvo
江南：中国人心灵的归宿！最富庶的江南在梦里 也在水里【CCTV纪录】,https://www.youtube.com/watch?v=weyW6X9IpEI
赶紧来贵州玩！这个低调的省份即将爆火 但目前被严重低估！【CCTV纪录】,https://www.youtube.com/watch?v=HCquKxXZNGs
《苏东坡》先收藏！走进“旷世奇才”苏轼的一生 一代风流成就千古风范 EP01【CCTV纪录】,https://www.youtube.com/watch?v=fGItLtFAb4Y
《苏东坡》东坡饼的由来：竟是焦了的面条！这千年不衰的风味小吃竟是苏东坡因陋就简的美食发明！EP02 【CCTV纪录】,https://www.youtube.com/watch?v=LqmZULRZ9s0
《苏东坡》半世颠沛流离  一生诗情画意 看千古名篇赤壁赋的诞生！EP03【CCTV纪录】,https://www.youtube.com/watch?v=64SYlKZvkBA
《苏东坡》从苏轼洞悉大宋文人风流 赏“天下第三行书”的气势奔放！EP04 【CCTV纪录】,https://www.youtube.com/watch?v=a3UyQQiMVcc
《苏东坡》仕途三起三落 苏轼出任“杭州太守”：在最低的境遇 活出最高的境界！EP05【CCTV纪录】,https://www.youtube.com/watch?v=AmQP3MDPtF0
《苏东坡》了解传统名菜“东坡肉”的前世今生！欲识“东坡肉” 得先识“东坡”！EP06【CCTV纪录】,https://www.youtube.com/watch?v=53DM7L-0Mtc
问道楼观 第一集 经出终南,https://www.youtube.com/watch?v=iohPsQe_RzA
问道楼观 第二集 百经之首,https://www.youtube.com/watch?v=aGcCa8SjIJk
问道楼观 第三集 无为而治,https://www.youtube.com/watch?v=i9lAkfNpntA
问道楼观 第四集 以奇用兵,https://www.youtube.com/watch?v=9hav08gh8D8
问道楼观 第五集 国教为道,https://www.youtube.com/watch?v=CGkNy5WfYkA
问道楼观 第六集 大美无形,https://www.youtube.com/watch?v=kxeb_GOU1RY
问道楼观 第七集 养生之道,https://www.youtube.com/watch?v=Z6c5W_3mBV8
问道楼观 第八集 道妙永恒,https://www.youtube.com/watch?v=jXZdJK7_SyI
中国再造“世界建筑奇迹”！花8年 砸6亿 这个“深坑酒店”终于露真容！《中国建设者》EP01【CCTV纪录】,https://www.youtube.com/watch?v=SNL6Zl2z6xo
向地下延伸80米的超五星深坑酒店 告诉你什么是地狱里的天堂！《中国建设者》EP01【CCTV纪录】,https://www.youtube.com/watch?v=bqV8HP_yNvk
为什么深坑酒店被称为世界十大建筑奇迹？背后是满满的黑科技！《中国建设者》EP01【CCTV纪录】,https://www.youtube.com/watch?v=QMd5QIQo0d0
忽遭地震！正在建造的世界奇迹北京新机场能否顺利渡过危机？《中国建设者》EP02【CCTV纪录】,https://www.youtube.com/watch?v=jtNJzt2y-jA
看万名建设者打造世界最大单体航站楼：北京超级机场！《中国建设者》EP02【CCTV纪录】,https://www.youtube.com/watch?v=OYgOvvvIHMI
总面积相当于3.2个天安门广场！中国建设者如何征服被誉为“新世界七大奇迹”的北京新机场？《中国建设者》EP02【CCTV纪录】,https://www.youtube.com/watch?v=QjFvTgcFFZY
聪明的“胖子”：装载了自动驾驶的“黑科技”电车到底有多厉害？《中国建设者》EP03【CCTV纪录】,https://www.youtube.com/watch?v=uRkBvO3t3K0
“地铁”跑上马路？全球首创的“智轨电车”搭载最先进的轨迹跟随控制技术！ 《中国建设者》EP03【CCTV纪录】,https://www.youtube.com/watch?v=_47ucpTzeKw
充电10分钟 行驶25公里！这辆“超级电车”有一颗和高铁一样的“心脏”！《中国建设者》EP03【CCTV纪录】,https://www.youtube.com/watch?v=rJhs_GJ1_xw
世界上最深的高铁站：“融入自然 隐于山间” 探秘建设中的京张高铁八达岭长城站《中国建设者》EP04【CCTV纪录】,https://www.youtube.com/watch?v=94NTSyZGJzA
壮观！“钢铁巨龙”昼夜潜行 盾构尖兵续写百年京张传奇《中国建设者》EP04【CCTV纪录】,https://www.youtube.com/watch?v=_L7D1RmGIxs
京张高铁的配置也太高能了！时速350公里 采用北斗卫星导航而且还实现了无人驾驶功能！《中国建设者》EP04【CCTV纪录】,https://www.youtube.com/watch?v=j3ezwhfDYMU
世界级地标 面积相当于6个鸟巢！全球房屋建筑领域最大的单体建筑：深圳国际会展中心《中国建设者》EP05【CCTV纪录】,https://www.youtube.com/watch?v=Gfl54sZ3zoo
大型工程主流建造方式：钢结构建筑 它的奥妙都在这里！《中国建设者》EP05【CCTV纪录】,https://www.youtube.com/watch?v=AzizJKjbBJY
“全球最大会客厅”建设遇用钢危机 工程师如何破解材料短缺问题？ 《中国建设者》EP05【CCTV纪录】,https://www.youtube.com/watch?v=Hr_HBD8SkbI
开发“蓝色国土”势在必得：这里一天开采的能源可供20万辆轿车使用一年！《中国建设者》EP06【CCTV纪录】,https://www.youtube.com/watch?v=EjS-PpN--gQ
地层最高温超200度！中国南海深处挑战钻探极限 破解世界油气开采难题 《中国建设者》EP06【CCTV纪录】,https://www.youtube.com/watch?v=TZ3K159Uwwo
海洋探索的“秘密武器”：水下机器人了解一下？它为水下作业扫清障碍！《中国建设者》EP06【CCTV纪录】,https://www.youtube.com/watch?v=TFbe5NvJwZQ
导弹轰炸灭火！射程达300米 中国首创冷发射导弹消防车《中国建设者》EP07【CCTV纪录】,https://www.youtube.com/watch?v=gVul7LMt1kM
“灭火神器”脑洞大开：见证超级导弹消防车的研制全过程《中国建设者》EP07【CCTV纪录】,https://www.youtube.com/watch?v=2OyJptTztLw
完爆2000万进口消防车！一次携带24枚导弹 高层灭火“指哪打哪” 的秘密在这里！《中国建设者》EP07【CCTV纪录】,https://www.youtube.com/watch?v=SUxYFGMcQ_M
厉害！每小时挖泥6000立方米 号称“国之神器”的天鲲号现身！《中国建设者》EP08【CCTV纪录】,https://www.youtube.com/watch?v=80jJBGcqcJA
刷新亚洲第一纪录！“天鲲号”试航成功 削岩如泥毫不夸张！《中国建设者》EP08【CCTV纪录】,https://www.youtube.com/watch?v=yha3TgedQAU
历时三年！详解中国“造岛神器”天鲲号制造全过程！《中国建设者》EP08【CCTV纪录】,https://www.youtube.com/watch?v=mEvW5wABVm4
如何打造“未来之城”？ 城市的地下空间设计工作还存在着何种挑战？《中国建设者》EP09【CCTV纪录】,https://www.youtube.com/watch?v=3B_cS8UvxPg
内涝 拥堵 反复开挖？这项地下工程能否让未来城市摆脱曾经的困扰？《中国建设者》EP09【CCTV纪录】,https://www.youtube.com/watch?v=u5BKrO5RiyU
中国成为世界第三个商业开采页岩气的国家！揭秘中国深层页岩气开采全过程《中国建设者》EP11【CCTV纪录】,https://www.youtube.com/watch?v=DdRQ-2m7yDQ
遇地层高温与复杂地应力难题 建设者如何精准定位深埋地下4000米的页岩气？《中国建设者》EP11【CCTV纪录】,https://www.youtube.com/watch?v=MKgyjRPojNA
中国能源革命的爆发点！开采能源王国的“蓝金”成员：页岩气 《中国建设者》EP11【CCTV纪录】,https://www.youtube.com/watch?v=OeJeV0Ytsjo
“蛟龙展翅”！世界最大 最先进的水陆两栖飞机AG600有多惊人？《中国建设者》EP12【CCTV纪录】,https://www.youtube.com/watch?v=WYbByNd6ORQ
