油管-百家讲坛_2,#genre#
因“张甥案”被贬 欧阳修作醉翁亭记为啥通篇言“乐”？才30多岁的他因何自称“翁”？宋朝那些人和事儿（第二部）11醉翁亭记之谜 20240410,https://www.youtube.com/watch?v=N0-B9bbMlJ0
梅尧臣、晏殊、苏轼...... 欧阳修的朋友占据半个北宋文化圈！来看看欧阳修朋友圈里还有哪些“熟人”？宋朝那些人和事儿（第二部）12 欧阳修和他的朋友圈 20240411,https://www.youtube.com/watch?v=ES_qBbypYWU
他替岳飞平反 为守孝竟辞去皇位 力主北伐恢复中原 带领南宋进入了最兴盛的时代 探秘南宋最有作为的皇帝赵昚 宋朝那些人和事儿（第二部）13 孝宗往事 20240412,https://www.youtube.com/watch?v=3zhi-AT9jmA
宋光宗禅位时为何自己不知情？被悍妇皇后逼疯 稀里糊涂被政变“退位” 揭秘光宗内禅的历史真相 宋朝那些人和事儿（第二部）14 光宗内禅之谜 20240413,https://www.youtube.com/watch?v=LacRW_K1jaI
追封岳飞 重用辛弃疾 力主抗金北伐 铁血宰相韩侂胄因何成了奸臣？开禧北伐又为何饱受历史非议？宋朝那些人和事儿（第二部）15 非议与疑惑 20240414,https://www.youtube.com/watch?v=OHKnwnH4MeQ
今古话溧阳 EP1 溧阳土台上的琴声回荡着两千多年的时光 琴声的主人究竟有着怎样的故事和情操？20210407,https://www.youtube.com/watch?v=zVQx7XyqQII
今古话溧阳 EP2 “慈母手中线，游子身上衣”这首著名的游子吟的作者原来也是出自溧阳！诗词的背后蕴含着怎样的故事？ 20210408,https://www.youtube.com/watch?v=yi_h9xHI_n0
今古话溧阳 EP3 “闻有贞义女 振穷溧水湾”！令李白赞叹的史贞女 究竟做了什么令世人为之敬佩的举动？20210409,https://www.youtube.com/watch?v=mTvhNOX43ig
黄帝内经（第六部）EP22 中医针灸是怎样治病的？它为什么如此的神奇？20210405 ,https://www.youtube.com/watch?v=Qxgw8B0D12I
黄帝内经（第六部）EP20 因势利导祛病邪 是谓治病之良方 20210403,https://www.youtube.com/watch?v=xqE6IZldUEU
黄帝内经（第六部）EP21 小小药方蕴含着大学问 我们应该如何读懂一张中医药方？ 20210404 ,https://www.youtube.com/watch?v=i7Lwd3N2ilo
黄帝内经（第六部） EP19 治病想要做到药到病除的效果 求其本寻其病根是基本原则！ 20210402,https://www.youtube.com/watch?v=N7TRyBH9LvE
黄帝内经（第六部）EP18 中医中的“运气”非彼“运气”！诊病为什么还需要看“运气” ？20210401 |  CCTV官方频道,https://www.youtube.com/watch?v=Z-uMatysCtU
