xiaohei,#genre#
湖南卫视,http://113.109.250.98:9999/udp/239.77.0.127:5146
浙江卫视,http://113.109.250.98:9999/udp/239.77.0.47:5146
浙江卫视,http://113.109.250.98:9999/udp/239.77.1.32:5146
浙江卫视,http://113.109.250.98:9999/udp/239.77.1.33:5146
浙江卫视,http://113.109.250.98:9999/udp/239.77.1.150:5146
浙江卫视,http://113.109.250.98:9999/udp/239.77.0.89:5146
浙江卫视,http://113.109.250.98:9999/udp/239.77.0.125:5146
江苏卫视,http://113.109.250.98:9999/udp/239.77.0.48:5146
江苏卫视,http://113.109.250.98:9999/udp/239.77.1.40:5146
江苏卫视,http://113.109.250.98:9999/udp/239.77.1.18:5146
江苏卫视,http://113.109.250.98:9999/udp/239.77.1.149:5146
江苏卫视,http://113.109.250.98:9999/udp/239.77.0.90:5146
江苏卫视,http://113.109.250.98:9999/udp/239.77.0.126:5146
东方卫视,http://113.109.250.98:9999/udp/239.77.0.49:5146
东方卫视,http://113.109.250.98:9999/udp/239.77.1.48:5146
东方卫视,http://113.109.250.98:9999/udp/239.77.1.218:5146
东方卫视,http://113.109.250.98:9999/udp/239.77.1.156:5146
东方卫视,http://113.109.250.98:9999/udp/239.77.0.98:5146
安徽卫视,http://113.109.250.98:9999/udp/239.77.0.50:5146
安徽卫视,http://113.109.250.98:9999/udp/239.77.1.13:5146
安徽卫视,http://113.109.250.98:9999/udp/239.77.1.92:5146
安徽卫视,http://113.109.250.98:9999/udp/239.77.1.157:5146
安徽卫视,http://113.109.250.98:9999/udp/239.77.0.183:5146
北京卫视,http://113.109.250.98:9999/udp/239.77.0.51:5146
北京卫视,http://113.109.250.98:9999/udp/239.77.1.14:5146
北京卫视,http://113.109.250.98:9999/udp/239.77.1.4:5146
北京卫视,http://113.109.250.98:9999/udp/239.77.1.151:5146
北京卫视,http://113.109.250.98:9999/udp/239.77.0.91:5146
天津卫视,http://113.109.250.98:9999/udp/239.77.0.52:5146
天津卫视,http://113.109.250.98:9999/udp/239.77.1.37:5146
天津卫视,http://113.109.250.98:9999/udp/239.77.1.141:5146
天津卫视,http://113.109.250.98:9999/udp/239.77.1.182:5146
天津卫视,http://113.109.250.98:9999/udp/239.77.0.97:5146
天津卫视,http://113.109.250.98:9999/udp/239.77.0.131:5146
山东卫视,http://113.109.250.98:9999/udp/239.77.0.53:5146
山东卫视,http://113.109.250.98:9999/udp/239.77.1.66:5146
山东卫视,http://113.109.250.98:9999/udp/239.77.1.142:5146
山东卫视,http://113.109.250.98:9999/udp/239.77.1.153:5146
山东卫视,http://113.109.250.98:9999/udp/239.77.0.94:5146
山东卫视,http://113.109.250.98:9999/udp/239.77.0.132:5146
江西卫视,http://113.109.250.98:9999/udp/239.77.0.54:5146
江西卫视,http://113.109.250.98:9999/udp/239.77.1.73:5146
江西卫视,http://113.109.250.98:9999/udp/239.77.1.219:5146
江西卫视,http://113.109.250.98:9999/udp/239.77.0.149:5146
湖北卫视,http://113.109.250.98:9999/udp/239.77.0.56:5146
湖北卫视,http://113.109.250.98:9999/udp/239.77.1.44:5146
湖北卫视,http://113.109.250.98:9999/udp/239.77.1.93:5146
湖北卫视,http://113.109.250.98:9999/udp/239.77.1.174:5146
湖北卫视,http://113.109.250.98:9999/udp/239.77.0.95:5146
湖北卫视,http://113.109.250.98:9999/udp/239.77.0.128:5146
辽宁卫视,http://113.109.250.98:9999/udp/239.77.0.57:5146
辽宁卫视,http://113.109.250.98:9999/udp/239.77.1.62:5146
辽宁卫视,http://113.109.250.98:9999/udp/239.77.1.103:5146
辽宁卫视 ,http://113.109.250.98:9999/udp/239.77.0.123:5146
辽宁卫视,http://113.109.250.98:9999/udp/239.77.0.161:5146
黑龙江卫视,http://113.109.250.98:9999/udp/239.77.0.58:5146
黑龙江卫视,http://113.109.250.98:9999/udp/239.77.1.71:5146
黑龙江卫视,http://113.109.250.98:9999/udp/239.77.1.6:5146
黑龙江卫视,http://113.109.250.98:9999/udp/239.77.1.179:5146
黑龙江卫视,http://113.109.250.98:9999/udp/239.77.0.93:5146
黑龙江卫视,http://113.109.250.98:9999/udp/239.77.0.124:5146
贵州卫视,http://113.109.250.98:9999/udp/239.77.0.59:5146
贵州卫视,http://113.109.250.98:9999/udp/239.77.1.61:5146
贵州卫视,http://113.109.250.98:9999/udp/239.77.1.221:5146
贵州卫视,http://113.109.250.98:9999/udp/239.77.0.230:5146
四川卫视,http://113.109.250.98:9999/udp/239.77.0.60:5146
四川卫视,http://113.109.250.98:9999/udp/239.77.1.30:5146
四川卫视,http://113.109.250.98:9999/udp/239.77.1.215:5146
四川卫视,http://113.109.250.98:9999/udp/239.77.0.159:5146
四川卫视,http://113.109.250.98:9999/udp/239.77.0.163:5146
河南卫视,http://113.109.250.98:9999/udp/239.77.0.61:5146
河南卫视,http://113.109.250.98:9999/udp/239.77.1.58:5146
河南卫视,http://113.109.250.98:9999/udp/239.77.1.229:5146
河南卫视,http://113.109.250.98:9999/udp/239.77.0.17:5146
云南卫视,http://113.109.250.98:9999/udp/239.77.0.62:5146
云南卫视,http://113.109.250.98:9999/udp/239.77.1.72:5146
云南卫视,http://113.109.250.98:9999/udp/239.253.43.37:5146
云南卫视,http://113.109.250.98:9999/udp/239.253.43.100:5146
重庆卫视,http://113.109.250.98:9999/udp/239.77.0.63:5146
重庆卫视,http://113.109.250.98:9999/udp/239.77.1.16:5146
重庆卫视,http://113.109.250.98:9999/udp/239.77.1.162:5146
重庆卫视,http://113.109.250.98:9999/udp/239.77.1.210:5146
重庆卫视,http://113.109.250.98:9999/udp/239.77.0.182:5146
河北卫视,http://113.109.250.98:9999/udp/239.77.0.64:5146
河北卫视,http://113.109.250.98:9999/udp/239.77.1.60:5146
河北卫视,http://113.109.250.98:9999/udp/239.77.1.214:5146
河北卫视,http://113.109.250.98:9999/udp/239.77.0.148:5146
东南卫视,http://113.109.250.98:9999/udp/239.77.0.65:5146
东南卫视,http://113.109.250.98:9999/udp/239.77.1.1:5146
东南卫视,http://113.109.250.98:9999/udp/239.77.1.213:5146
东南卫视,http://113.109.250.98:9999/udp/239.77.1.104:5146
福建综合,http://120.41.124.228:8888/rtp/239.61.3.4:9542
福建公共频道,http://120.41.124.228:8888/rtp/239.61.2.3:8012
福建新闻,http://120.41.124.228:8888/rtp/239.61.2.4:8018
福建电视剧,http://120.41.124.228:8888/rtp/239.61.2.5:8024
福建旅游,http://120.41.124.228:8888/rtp/239.61.2.6:8030
福建经济生活,http://120.41.124.228:8888/rtp/239.61.2.7:8036
福建体育,http://120.41.124.228:8888/rtp/239.61.2.160:8948
福建少儿,http://120.41.124.228:8888/rtp/239.61.2.9:8048
福建教育频道,http://120.41.124.228:8888/rtp/239.61.2.173:9026
厦门1套,http://120.41.124.228:8888/rtp/239.61.3.55:9848
厦门2套,http://120.41.124.228:8888/rtp/239.61.3.56:9854
快乐购物,http://120.41.124.228:8888/rtp/239.61.2.169:9002
