直播_斯玛特,#genre#
寰宇财经,http://127.0.0.1:8084/smt.php?play=2&id=huanyutaiwan_twn
寰宇新闻台,http://127.0.0.1:8084/smt.php?play=2&id=huanyuxinwen_twn
公视2,http://127.0.0.1:8084/smt.php?play=2&id=ctv2_twn
大爱1台,http://127.0.0.1:8084/smt.php?play=2&id=daai_twn
非凡新闻台,http://127.0.0.1:8084/smt.php?play=2&id=feifannews_twn
龙华戏剧 Lunghua Drama,http://127.0.0.1:8084/smt.php?play=2&id=lunghuaxiju_twn
龙华经典台,http://127.0.0.1:8084/smt.php?play=2&id=lunghuajingdian_twn
龙华偶像,http://127.0.0.1:8084/smt.php?play=2&id=lunghuaidol_twn
AXN Taiwan,http://127.0.0.1:8084/smt.php?play=2&id=axn_twn
靖天国际台,http://127.0.0.1:8084/smt.php?play=2&id=jingtianintl_twn
年代新闻,http://127.0.0.1:8084/smt.php?play=2&id=niandainews_twn
纬来日本台,http://127.0.0.1:8084/smt.php?play=2&id=videolandjapan
纬来电影台,http://127.0.0.1:8084/smt.php?play=2&id=videolandmovie
纬来体育台,http://127.0.0.1:8084/smt.php?play=2&id=videolandsport
纬来综合台,http://127.0.0.1:8084/smt.php?play=2&id=videolandzonghe
纬来育乐,http://127.0.0.1:8084/smt.php?play=2&id=videolandyule
纬来精彩,http://127.0.0.1:8084/smt.php?play=2&id=videolandspecial_twn
好消息 2,http://127.0.0.1:8084/smt.php?play=2&id=good2_twn
大爱2台,http://127.0.0.1:8084/smt.php?play=2&id=daai2_twn
亚洲美食,http://127.0.0.1:8084/smt.php?play=2&id=afc_twn
美食星球,http://127.0.0.1:8084/smt.php?play=2&id=foodplanet_twn
亚洲旅游 TLC Asia,http://127.0.0.1:8084/smt.php?play=2&id=tlc_twn
东森电影 ETTV Movie,http://127.0.0.1:8084/smt.php?play=2&id=ettvmovie
阿里郎 Arirang,http://127.0.0.1:8084/smt.php?play=2&id=arirang_twn
博斯运动 1,http://127.0.0.1:8084/smt.php?play=2&id=bosisport1_twn
博斯运动 2,http://127.0.0.1:8084/smt.php?play=2&id=bosisport2_twn
博斯高球2 HD,http://127.0.0.1:8084/smt.php?play=2&id=bosigolf2_twn
博斯网球 HD,http://127.0.0.1:8084/smt.php?play=2&id=bositennis_twn
东森洋片 ETTV Western,http://127.0.0.1:8084/smt.php?play=2&id=ettvwestern
龙华洋片 Lunghua Western,http://127.0.0.1:8084/smt.php?play=2&id=lunghuawestern_twn
博斯无限,http://127.0.0.1:8084/smt.php?play=2&id=bosiunlimited_twn
MTV Live,http://127.0.0.1:8084/smt.php?play=2&id=mtvhd_twn
龙详时代,http://127.0.0.1:8084/smt.php?play=2&id=lungxiangtime_twn
EYETV 旅游,http://127.0.0.1:8084/smt.php?play=2&id=eyetvtravel_twn
靖天卡通台,http://127.0.0.1:8084/smt.php?play=2&id=jingtiancartoon_twn
EYETV 戏剧,http://127.0.0.1:8084/smt.php?play=2&id=eyetvxiju_twn
卫视中文台 Star Movies Chinese,http://127.0.0.1:8084/smt.php?play=2&id=weishichinese_twn
东森幼幼 Yoyo TV,http://127.0.0.1:8084/smt.php?play=2&id=yoyo_twn
卫视电影台,http://127.0.0.1:8084/smt.php?play=2&id=weishimovie_twn
美亚电影,http://127.0.0.1:8084/smt.php?play=2&id=meiyamovie_twn
爱尔达影剧台,http://127.0.0.1:8084/smt.php?play=2&id=eltayingju_twn
爱尔达综合台,http://127.0.0.1:8084/smt.php?play=2&id=eltazonghe_twn
星卫电影,http://127.0.0.1:8084/smt.php?play=2&id=xingwei_movie
AFC 亚洲旅游台,http://127.0.0.1:8084/smt.php?play=2&id=asiatravel_twn
Cinemax,http://127.0.0.1:8084/smt.php?play=2&id=Cinemax
Animax,http://127.0.0.1:8084/smt.php?play=2&id=Animax
Movies Now HD,http://127.0.0.1:8084/smt.php?play=2&id=moviesnow_raj
Star Movies HD,http://127.0.0.1:8084/smt.php?play=2&id=starmovies_raj
HBO Family,http://127.0.0.1:8084/smt.php?play=2&id=Hbofamily
Hits,http://127.0.0.1:8084/smt.php?play=2&id=Hits
Warner TV,http://127.0.0.1:8084/smt.php?play=2&id=WarnerTV
HBO HD,http://127.0.0.1:8084/smt.php?play=2&id=Hbo
HBO Signature,http://127.0.0.1:8084/smt.php?play=2&id=Hbosignature
HBO Hits,http://127.0.0.1:8084/smt.php?play=2&id=Hbohitshd
SCM,http://127.0.0.1:8084/smt.php?play=2&id=Weishimovie
Dreamworks,http://127.0.0.1:8084/smt.php?play=2&id=Dreamworks
Thrill,http://127.0.0.1:8084/smt.php?play=2&id=Thrill
Hits Movie,http://127.0.0.1:8084/smt.php?play=2&id=Hitsmovie
One,http://127.0.0.1:8084/smt.php?play=2&id=One
tvN Movie,http://127.0.0.1:8084/smt.php?play=2&id=Tvnmovie
Celestial Classic,http://127.0.0.1:8084/smt.php?play=2&id=Celestial2
Celestial Movies HD,http://127.0.0.1:8084/smt.php?play=2&id=Celestialindo
Axn HD,http://127.0.0.1:8084/smt.php?play=2&id=Axn
Paramount Network,http://127.0.0.1:8084/smt.php?play=2&id=Paramountnetwork
Astrol Kplus,http://127.0.0.1:8084/smt.php?play=2&id=Kplus
Rock Actions,http://127.0.0.1:8084/smt.php?play=2&id=Rockaction
Rock Entertainment,http://127.0.0.1:8084/smt.php?play=2&id=Rockentertain
Natgeo_HD,http://127.0.0.1:8084/smt.php?play=2&id=natgeohd_twn
NatGeo_Wild HD,http://127.0.0.1:8084/smt.php?play=2&id=natgeowild_twn
Animal_Planet,http://127.0.0.1:8084/smt.php?play=2&id=animalplanet_twn
